Time: 15.23, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.46, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 63.17, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 73.09, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 4.5, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 4.23, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 4.2, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 4.25, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 4.27, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 4.63, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 5.02, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 7.42, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 5.83, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 5.12, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 5.53, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 6.66, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 11.98, Collision Actor ID: 0, Collision Actor Type: static.road
Time: 7.63, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 20.59, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.52, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 15.1, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 10.57, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 10.5, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 5.24, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 11.65, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.45, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 7.75, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 7.5, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 9.01, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.65, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.9, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 10.99, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.55, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 10.01, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.7, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 63.14, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.33, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.43, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.62, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.6, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 11.53, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.57, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.5, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 11.34, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.64, Collision Actor ID: 0, Collision Actor Type: static.sidewalk
Time: 51.79, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 9.56, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 9.73, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 29.37, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.68, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 15.62, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 11.74, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 10.21, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 5.46, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 7.45, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.63, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 10.47, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 18.11, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.05, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 11.73, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.72, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 16.4, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.93, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.79, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 15.02, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 63.0, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 62.81, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 9.12, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 7.99, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 7.67, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.15, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 7.55, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 9.18, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.68, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 4.55, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 5.57, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 5.26, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 4.92, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 5.6, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 27.97, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 11.92, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 31.8, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 63.8, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 68.71, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 81.88, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 82.21, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 82.08, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 81.24, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.46, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.6, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.67, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.64, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.59, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.69, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.74, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 81.33, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 15.11, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 11.19, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 21.1, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 254.75, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.44, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 15.22, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.51, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 40.62, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 40.62, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 40.64, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 40.73, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 41.69, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 41.73, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 40.6, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 41.78, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 40.61, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 40.67, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 40.64, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 40.71, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 40.63, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 40.01, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 15.89, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 16.16, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 27.43, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 61.14, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.9, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 15.97, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.24, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 16.9, Collision Actor ID: 0, Collision Actor Type: static.sidewalk
Time: 20.31, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 29.57, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.89, Collision Actor ID: 33, Collision Actor Type: vehicle.tesla.model3
Time: 59.23, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 57.86, Collision Actor ID: 0, Collision Actor Type: static.sidewalk
Time: 57.46, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 56.11, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 27.72, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 27.78, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 53.96, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 54.38, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 54.03, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 26.7, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 27.31, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 27.16, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 26.6, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 26.52, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 26.34, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 27.42, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 28.04, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 15.99, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 16.83, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.76, Collision Actor ID: 0, Collision Actor Type: static.road
Time: 37.15, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.17, Collision Actor ID: 41, Collision Actor Type: vehicle.audi.a2
Time: 11.77, Collision Actor ID: 46, Collision Actor Type: vehicle.tesla.model3
Time: 29.82, Collision Actor ID: 72, Collision Actor Type: vehicle.tesla.model3
Time: 35.37, Collision Actor ID: 79, Collision Actor Type: vehicle.audi.a2
Time: 41.37, Collision Actor ID: 87, Collision Actor Type: vehicle.audi.a2
Time: 47.17, Collision Actor ID: 97, Collision Actor Type: vehicle.audi.a2
Time: 51.97, Collision Actor ID: 106, Collision Actor Type: vehicle.tesla.model3
Time: 57.07, Collision Actor ID: 107, Collision Actor Type: vehicle.audi.a2
Time: 63.52, Collision Actor ID: 120, Collision Actor Type: vehicle.tesla.model3
Time: 67.07, Collision Actor ID: 127, Collision Actor Type: vehicle.tesla.model3
Time: 77.52, Collision Actor ID: 140, Collision Actor Type: vehicle.tesla.model3
Time: 85.12, Collision Actor ID: 149, Collision Actor Type: vehicle.audi.a2
Time: 92.07, Collision Actor ID: 153, Collision Actor Type: vehicle.tesla.model3
Time: 8.17, Collision Actor ID: 164, Collision Actor Type: vehicle.audi.a2
Time: 11.77, Collision Actor ID: 168, Collision Actor Type: vehicle.tesla.model3
Time: 8.41, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.36, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 16.25, Collision Actor ID: 0, Collision Actor Type: static.road
Time: 102.98, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 15.64, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.38, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 15.72, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 15.7, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 15.7, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 15.59, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 15.52, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 15.57, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 15.5, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 7.18, Collision Actor ID: 30, Collision Actor Type: vehicle.audi.a2
Time: 8.28, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 7.65, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 24.42, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 49.17, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 49.4, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 49.79, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 49.3, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 63.75, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 15.88, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 59.9, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 59.92, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 56.89, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 36.17, Collision Actor ID: 50, Collision Actor Type: vehicle.audi.a2
Time: 62.45, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 37.1, Collision Actor ID: 127, Collision Actor Type: vehicle.audi.a2
Time: 63.5, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 10.55, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 30.35, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 32.63, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 40.23, Collision Actor ID: 50, Collision Actor Type: vehicle.audi.a2
Time: 36.57, Collision Actor ID: 50, Collision Actor Type: vehicle.audi.a2
Time: 52.97, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 52.05, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 99.2, Collision Actor ID: 88, Collision Actor Type: vehicle.audi.a2
Time: 14.96, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 9.02, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 31.76, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 39.98, Collision Actor ID: 441, Collision Actor Type: vehicle.audi.a2
Time: 44.98, Collision Actor ID: 447, Collision Actor Type: vehicle.audi.a2
Time: 45.38, Collision Actor ID: 446, Collision Actor Type: vehicle.audi.a2
Time: 66.38, Collision Actor ID: 459, Collision Actor Type: vehicle.tesla.model3
Time: 71.13, Collision Actor ID: 463, Collision Actor Type: vehicle.tesla.model3
Time: 76.68, Collision Actor ID: 466, Collision Actor Type: vehicle.tesla.model3
Time: 85.38, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 39.35, Collision Actor ID: 518, Collision Actor Type: vehicle.audi.a2
Time: 43.5, Collision Actor ID: 522, Collision Actor Type: vehicle.tesla.model3
Time: 8.07, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.4, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 15.05, Collision Actor ID: 593, Collision Actor Type: vehicle.tesla.model3
Time: 12.61, Collision Actor ID: 699, Collision Actor Type: vehicle.tesla.model3
Time: 36.46, Collision Actor ID: 746, Collision Actor Type: vehicle.tesla.model3
Time: 36.96, Collision Actor ID: 0, Collision Actor Type: static.road
Time: 12.43, Collision Actor ID: 776, Collision Actor Type: vehicle.tesla.model3
Time: 35.88, Collision Actor ID: 823, Collision Actor Type: vehicle.tesla.model3
Time: 40.58, Collision Actor ID: 826, Collision Actor Type: vehicle.audi.a2
Time: 45.58, Collision Actor ID: 830, Collision Actor Type: vehicle.tesla.model3
Time: 12.91, Collision Actor ID: 863, Collision Actor Type: vehicle.tesla.model3
Time: 40.01, Collision Actor ID: 903, Collision Actor Type: vehicle.audi.a2
Time: 45.21, Collision Actor ID: 909, Collision Actor Type: vehicle.audi.a2
Time: 45.56, Collision Actor ID: 908, Collision Actor Type: vehicle.audi.a2
Time: 66.56, Collision Actor ID: 921, Collision Actor Type: vehicle.tesla.model3
Time: 71.16, Collision Actor ID: 925, Collision Actor Type: vehicle.tesla.model3
Time: 76.76, Collision Actor ID: 928, Collision Actor Type: vehicle.tesla.model3
Time: 79.21, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 21.71, Collision Actor ID: 965, Collision Actor Type: static.prop.vendingmachine
Time: 22.11, Collision Actor ID: 964, Collision Actor Type: walker.pedestrian.0025
Time: 12.42, Collision Actor ID: 1003, Collision Actor Type: vehicle.tesla.model3
Time: 35.77, Collision Actor ID: 1054, Collision Actor Type: vehicle.tesla.model3
Time: 40.62, Collision Actor ID: 1057, Collision Actor Type: vehicle.audi.a2
Time: 45.57, Collision Actor ID: 1063, Collision Actor Type: vehicle.audi.a2
Time: 66.57, Collision Actor ID: 1075, Collision Actor Type: vehicle.tesla.model3
Time: 84.78, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 12.12, Collision Actor ID: 1112, Collision Actor Type: vehicle.tesla.model3
Time: 33.52, Collision Actor ID: 1129, Collision Actor Type: vehicle.audi.a2
Time: 39.82, Collision Actor ID: 1134, Collision Actor Type: vehicle.audi.a2
Time: 16.08, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 20.63, Collision Actor ID: 0, Collision Actor Type: static.road
Time: 9.83, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 57.26, Collision Actor ID: 59, Collision Actor Type: vehicle.tesla.model3
Time: 13.55, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 10.14, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 41.83, Collision Actor ID: 122, Collision Actor Type: vehicle.tesla.model3
Time: 11.77, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 55.39, Collision Actor ID: 59, Collision Actor Type: vehicle.tesla.model3
Time: 15.01, Collision Actor ID: 116, Collision Actor Type: vehicle.tesla.model3
Time: 42.16, Collision Actor ID: 138, Collision Actor Type: vehicle.audi.a2
Time: 46.36, Collision Actor ID: 142, Collision Actor Type: vehicle.tesla.model3
Time: 74.81, Collision Actor ID: 156, Collision Actor Type: vehicle.tesla.model3
Time: 79.41, Collision Actor ID: 160, Collision Actor Type: vehicle.tesla.model3
Time: 85.21, Collision Actor ID: 163, Collision Actor Type: vehicle.tesla.model3
